"JobID","User Name","Domain Name","Document Name","Date Time","Type","Department Number","Pages","Size","Status","Sets","PIN","Project Code"
"96384","erolando","VERTILUX.LTD","New Pallet 125X40","2021-01-05T11:16:32","Print","","1","LETTER","4000","2","",""
"96383","erolando","VERTILUX.LTD","New Pallet 125X40","2021-01-05T11:05:48","Print","","1","LETTER","4000","2","",""
"96382","erolando","VERTILUX.LTD","New Pallet 125X40","2021-01-05T11:03:41","Print","","1","LETTER","4000","2","",""
"96381","erolando","VERTILUX.LTD","New Pallet 110X40.pdf","2021-01-05T10:56:36","Print","","1","LETTER","4000","2","",""
"96380","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090065","2021-01-05T10:50:10","Print","","7","LETTER","4000","1","",""
"96379","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090066","2021-01-05T10:47:10","Print","","2","LETTER","4000","1","",""
"96378","erolando","VERTILUX.LTD","ACFrOgB80kck3tebY2JcluNWU3pgss7vknoRxmG...TxRUp5q3sugwHXLZhZR5aMPQAV9Jc2Yd1PJTM=","2021-01-05T10:44:40","Print","","5","LETTER","4000","1","",""
"96377","erolando","VERTILUX.LTD","ACFrOgCOlGKO94qlfcFmoxYUFcGUbAZZxJAYf1_...9XhBsorS5JFtSCJWoS4C5PDkhIMPf5RSDaTDA=","2021-01-05T10:44:08","Print","","2","LETTER","4000","2","",""
"96376","","","","2021-01-05T10:31:44","Copy","","1","LETTER","4000","1","",""
"96375","erolando","VERTILUX.LTD","PENTAGRAMA DEC 21.xlsx","2021-01-05T10:28:50","Print","","1","LETTER","4000","2","",""
"96373","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090421","2021-01-05T09:51:09","Print","","1","LETTER","4000","2","",""
"96372","kenya","","ERP Web Application _ Shipping Reference_ REF0000090421","2021-01-05T09:50:59","Print","","2","LETTER","4000","1","",""
"96371","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090420","2021-01-05T09:50:29","Print","","1","LETTER","4000","2","",""
"96370","kenya","","ERP Web Application _ Shipping Reference_ REF0000090420","2021-01-05T09:50:23","Print","","3","LETTER","4000","1","",""
"96368","kenya","","Microsoft Word - Employee Leave Request Form 2021","2021-01-05T09:42:38","Print","","2","LETTER","4000","1","",""
"96367","rolandog","VERTILUX.LTD","RETURN AUTHORIZATION (010).PDF","2021-01-05T09:21:28","Print","","1","LETTER","4000","4","",""
"96366","erolando","VERTILUX.LTD","WAREHOUSE SUPPLIES.xlsx","2021-01-05T09:21:20","Print","","1","LETTER","4000","1","",""
"96365","erolando","VERTILUX.LTD","WAREHOUSE SUPPLIES.xlsx","2021-01-05T09:17:18","Print","","1","LETTER","4000","1","",""
"96364","","","","2021-01-05T09:13:14","Copy","","1","LETTER","4000","1","",""
"96363","","","","2021-01-05T09:13:02","Copy","","1","LETTER","4000","1","",""
"96362","","","","2021-01-05T09:12:50","Copy","","1","LETTER","4000","1","",""
"96361","","","","2021-01-05T09:12:39","Copy","","1","LETTER","4000","1","",""
"96360","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090419","2021-01-05T08:57:33","Print","","1","LETTER","4000","2","",""
"96359","kenya","","ERP Web Application _ Shipping Reference_ REF0000090419","2021-01-05T08:57:22","Print","","2","LETTER","4000","1","",""
"96358","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090393","2021-01-05T08:55:21","Print","","1","LETTER","4000","2","",""
"96357","kenya","","ERP Web Application _ Shipping Reference_ REF0000090393","2021-01-05T08:55:12","Print","","3","LETTER","4000","1","",""
"96356","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090387","2021-01-05T08:54:30","Print","","1","LETTER","4000","2","",""
"96355","kenya","","ERP Web Application _ Shipping Reference_ REF0000090387","2021-01-05T08:54:17","Print","","2","LETTER","4000","1","",""
"96352","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090344","2021-01-04T16:51:32","Print","","2","LETTER","4000","2","",""
"96351","erolando","VERTILUX.LTD","ACFrOgD2KTeNVzELePJmtx8hDdnVF1znkrNHv33...TG7T4JaKxUY67sGLyBx0eH95fdscRTbdL9cTI=","2021-01-04T16:50:42","Print","","1","LETTER","4000","1","",""
"96350","","","","2021-01-04T16:49:21","Print","","1","LETTER","4000","1","",""
"96349","","","","2021-01-04T16:49:19","Print","","2","LETTER","4000","1","",""
"96348","erolando","VERTILUX.LTD","ACFrOgBKGLPdjNbZ9Dwx3uqSkIZX3zv78pz2BXz...jSHr6rj7wGk8qZob_rAuRsTrx-FWPaXzNZ9pA=","2021-01-04T16:46:48","Print","","1","LETTER","4000","2","",""
"96347","erolando","VERTILUX.LTD","ACFrOgByxoDZ8wlXaWshorF7xkdCTPZlg4bHrtj...gfPQvQOip7-S-UaT4QNrmLniWv2fSLL-_G3iA=","2021-01-04T16:46:22","Print","","1","LETTER","4000","1","",""
"96346","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090336","2021-01-04T16:46:03","Print","","2","LETTER","4000","2","",""
"96345","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090335","2021-01-04T16:45:13","Print","","3","LETTER","4000","2","",""
"96344","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090389","2021-01-04T16:41:21","Print","","1","LETTER","4000","2","",""
"96343","kenya","","ERP Web Application _ Shipping Reference_ REF0000090389","2021-01-04T16:41:15","Print","","2","LETTER","4000","1","",""
"96342","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090408","2021-01-04T16:30:37","Print","","1","LETTER","4000","2","",""
"96341","kenya","","ERP Web Application _ Shipping Reference_ REF0000090408","2021-01-04T16:30:31","Print","","5","LETTER","4000","1","",""
"96340","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090400","2021-01-04T16:29:11","Print","","1","LETTER","4000","2","",""
"96339","kenya","","ERP Web Application _ Shipping Reference_ REF0000090400","2021-01-04T16:29:02","Print","","2","LETTER","4000","1","",""
"96338","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090392","2021-01-04T16:28:36","Print","","2","LETTER","4000","2","",""
"96337","kenya","","ERP Web Application _ Shipping Reference_ REF0000090392","2021-01-04T16:28:26","Print","","5","LETTER","4000","1","",""
"96336","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090385","2021-01-04T16:25:22","Print","","1","LETTER","4000","2","",""
"96335","kenya","","ERP Web Application _ Shipping Reference_ REF0000090385","2021-01-04T16:25:11","Print","","2","LETTER","4000","1","",""
"96334","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090386","2021-01-04T16:24:49","Print","","1","LETTER","4000","2","",""
"96333","kenya","","ERP Web Application _ Shipping Reference_ REF0000090386","2021-01-04T16:24:40","Print","","2","LETTER","4000","1","",""
"96332","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090382","2021-01-04T16:24:14","Print","","1","LETTER","4000","2","",""
"96331","kenya","","ERP Web Application _ Shipping Reference_ REF0000090382","2021-01-04T16:24:00","Print","","2","LETTER","4000","1","",""
"96330","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090380","2021-01-04T16:23:35","Print","","1","LETTER","4000","2","",""
"96329","kenya","","ERP Web Application _ Shipping Reference_ REF0000090380","2021-01-04T16:23:25","Print","","2","LETTER","4000","1","",""
"96328","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090375","2021-01-04T16:22:54","Print","","1","LETTER","4000","2","",""
"96327","kenya","","ERP Web Application _ Shipping Reference_ REF0000090375","2021-01-04T16:22:48","Print","","3","LETTER","4000","1","",""
"96326","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090374","2021-01-04T16:21:48","Print","","1","LETTER","4000","2","",""
"96325","kenya","","ERP Web Application _ Shipping Reference_ REF0000090374","2021-01-04T16:21:38","Print","","2","LETTER","4000","1","",""
"96324","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090388","2021-01-04T16:17:59","Print","","2","LETTER","4000","2","",""
"96323","kenya","","ERP Web Application _ Shipping Reference_ REF0000090388","2021-01-04T16:17:49","Print","","6","LETTER","4000","1","",""
"96322","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090364","2021-01-04T16:16:07","Print","","1","LETTER","4000","2","",""
"96321","kenya","","ERP Web Application _ Shipping Reference_ REF0000090364","2021-01-04T16:15:54","Print","","2","LETTER","4000","1","",""
"96320","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090362","2021-01-04T16:15:24","Print","","1","LETTER","4000","2","",""
"96319","kenya","","ERP Web Application _ Shipping Reference_ REF0000090362","2021-01-04T16:15:14","Print","","2","LETTER","4000","1","",""
"96318","rolandog","VERTILUX.LTD","RETURN AUTHORIZATION (010).PDF","2021-01-04T16:14:17","Print","","1","LETTER","4000","4","",""
"96317","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090379","2021-01-04T16:13:24","Print","","1","LETTER","4000","2","",""
"96316","kenya","","ERP Web Application _ Shipping Reference_ REF0000090379","2021-01-04T16:13:06","Print","","2","LETTER","4000","1","",""
"96315","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090360","2021-01-04T16:12:32","Print","","1","LETTER","4000","2","",""
"96314","kenya","","ERP Web Application _ Shipping Reference_ REF0000090360","2021-01-04T16:12:26","Print","","2","LETTER","4000","1","",""
"96313","","","","2021-01-04T16:07:16","Copy","","1","LETTER","4000","1","",""
"96312","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090356","2021-01-04T16:04:26","Print","","2","LETTER","4000","2","",""
"96311","kenya","","ERP Web Application _ Shipping Reference_ REF0000090356","2021-01-04T16:04:11","Print","","4","LETTER","4000","1","",""
"96310","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090353","2021-01-04T16:03:13","Print","","1","LETTER","4000","2","",""
"96309","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090322","2021-01-04T16:02:43","Print","","2","LETTER","4000","2","",""
"96308","kenya","","ERP Web Application _ Shipping Reference_ REF0000090353","2021-01-04T15:59:44","Print","","2","LETTER","4000","1","",""
"96307","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090352","2021-01-04T15:56:49","Print","","1","LETTER","4000","1","",""
"96306","kenya","","ERP Web Application _ Shipping Reference_ REF0000090352","2021-01-04T15:56:40","Print","","2","LETTER","4000","1","",""
"96305","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090351","2021-01-04T15:55:48","Print","","1","LETTER","4000","2","",""
"96304","kenya","","ERP Web Application _ Shipping Reference_ REF0000090351","2021-01-04T15:55:37","Print","","3","LETTER","4000","1","",""
"96303","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090340","2021-01-04T15:51:55","Print","","2","LETTER","4000","2","",""
"96302","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090333","2021-01-04T15:51:31","Print","","3","LETTER","4000","2","",""
"96301","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090342","2021-01-04T15:50:41","Print","","2","LETTER","4000","2","",""
"96300","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090365","2021-01-04T15:50:07","Print","","3","LETTER","4000","2","",""
"96299","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090337","2021-01-04T15:49:15","Print","","2","LETTER","4000","2","",""
"96298","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090288","2021-01-04T15:48:46","Print","","3","LETTER","4000","2","",""
"96297","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090339","2021-01-04T15:48:06","Print","","2","LETTER","4000","2","",""
"96296","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090321","2021-01-04T15:47:29","Print","","2","LETTER","4000","2","",""
"96295","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090235","2021-01-04T15:46:57","Print","","2","LETTER","4000","2","",""
"96294","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000090119","2021-01-04T15:46:34","Print","","3","LETTER","4000","2","",""
"96293","erolando","VERTILUX.LTD","ERP Web Application _ Shipping Reference_ REF0000089850","2021-01-04T15:45:40","Print","","2","LETTER","4000","2","",""
"96292","kenya","","ERP Web Application _ Shipping Reference_ REF0000090389","2021-01-04T15:38:31","Print","","2","LETTER","4000","1","",""
"96291","erolando","VERTILUX.LTD","ACFrOgCa5aesV76MV89UaN1ln-ep4ZGlPQzgewl...Rn3MK7yW59KmObNwXXllZXsNXj9_MmsdbuTEY=","2021-01-04T15:38:27","Print","","1","LETTER","4000","1","",""
"96290","kenya","","ERP Web Application _ Shipping Reference_ REF0000090389","2021-01-04T15:38:18","Print","","2","LETTER","4000","1","",""
"96289","erolando","VERTILUX.LTD","ACFrOgCa5aesV76MV89UaN1ln-ep4ZGlPQzgewl...Rn3MK7yW59KmObNwXXllZXsNXj9_MmsdbuTEY=","2021-01-04T15:38:11","Print","","2","LETTER","4000","1","",""
"96288","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090389","2021-01-04T15:36:47","Print","","1","LETTER","4000","2","",""
"96287","erolando","VERTILUX.LTD","ACFrOgArOuDSKmZfWQDPwQsE1WlTYctU70xhpjR..._sVCDRCqdpZxUYWEvPR2tyzUm5RY2wryQUsXE=","2021-01-04T15:36:20","Print","","1","LETTER","4000","2","",""
"96286","erolando","VERTILUX.LTD","ACFrOgDha4SBB0mAzu8O1lDhaPp_gIsVPDpX89g...jr8yc7UMkqcuiNWBmilNmBLMOMHnpQvhUu9Us=","2021-01-04T15:35:53","Print","","1","LETTER","4000","1","",""
"96285","erolando","VERTILUX.LTD","ACFrOgDQMSCWAOOtWzrREtgvz5LNJy9K1uh5LZf...OIeWVaAULqHIu-xy2dr5km-SMf_i49y5TJLdE=","2021-01-04T15:33:44","Print","","1","LETTER","4000","1","",""
"96284","erolando","VERTILUX.LTD","ACFrOgB_d1bQZ9HxMqVBNaKOFyJIK7rNflrAdH6...anfEqRC2b5Av1KXKTqkRX7dV7kLjUY5g2pTGw=","2021-01-04T15:31:34","Print","","1","LETTER","4000","1","",""
"96283","erolando","VERTILUX.LTD","ACFrOgB_d1bQZ9HxMqVBNaKOFyJIK7rNflrAdH6...anfEqRC2b5Av1KXKTqkRX7dV7kLjUY5g2pTGw=","2021-01-04T15:31:25","Print","","2","LETTER","4000","1","",""
"96282","erolando","VERTILUX.LTD","ACFrOgC5cdE5LtTRnWRgzENdrS6Of9hnibRPl5F...ToxMhy_Sxdz2diYnfCWPb5drD7Ey162PH8JVg=","2021-01-04T15:29:05","Print","","1","LETTER","4000","1","",""
"96281","erolando","VERTILUX.LTD","ACFrOgC5cdE5LtTRnWRgzENdrS6Of9hnibRPl5F...ToxMhy_Sxdz2diYnfCWPb5drD7Ey162PH8JVg=","2021-01-04T15:27:06","Print","","3","LETTER","4000","1","",""
"96280","erolando","VERTILUX.LTD","ACFrOgD6o-X3yjCtES1-OLR2W7UD31rYDIeknm6...GtTmog37UdH5rA8G5ks_TYxr5aTD-xu12rx-U=","2021-01-04T15:22:12","Print","","1","LETTER","4000","1","",""
"96279","erolando","VERTILUX.LTD","ACFrOgD6o-X3yjCtES1-OLR2W7UD31rYDIeknm6...GtTmog37UdH5rA8G5ks_TYxr5aTD-xu12rx-U=","2021-01-04T15:22:03","Print","","2","LETTER","4000","1","",""
"96278","erolando","VERTILUX.LTD","ACFrOgDMsgQS_0LWPEPEtdtPnXi_Qk72kPUGGqZ...rJAm5pIQF_n4FF2Nzoel113MI2-JapliKvC7E=","2021-01-04T15:20:05","Print","","1","LETTER","4000","1","",""
"96277","erolando","VERTILUX.LTD","ACFrOgDMsgQS_0LWPEPEtdtPnXi_Qk72kPUGGqZ...rJAm5pIQF_n4FF2Nzoel113MI2-JapliKvC7E=","2021-01-04T15:19:47","Print","","1","LETTER","4000","1","",""
"96276","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090381","2021-01-04T15:19:30","Print","","1","LETTER","4000","2","",""
"96275","erolando","VERTILUX.LTD","ACFrOgDMsgQS_0LWPEPEtdtPnXi_Qk72kPUGGqZ...rJAm5pIQF_n4FF2Nzoel113MI2-JapliKvC7E=","2021-01-04T15:19:04","Print","","1","LETTER","4000","1","",""
"96274","erolando","VERTILUX.LTD","ACFrOgDMsgQS_0LWPEPEtdtPnXi_Qk72kPUGGqZ...rJAm5pIQF_n4FF2Nzoel113MI2-JapliKvC7E=","2021-01-04T15:18:44","Print","","3","LETTER","4000","1","",""
"96273","kenya","","ERP Web Application _ Shipping Reference_ REF0000090381","2021-01-04T15:18:19","Print","","2","LETTER","4000","1","",""
"96272","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090297","2021-01-04T14:27:58","Print","","1","LETTER","4000","2","",""
"96271","kenya","","ERP Web Application _ Shipping Reference_ REF0000090297","2021-01-04T14:27:48","Print","","2","LETTER","4000","1","",""
"96270","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090329","2021-01-04T14:21:14","Print","","1","LETTER","4000","2","",""
"96269","kenya","","ERP Web Application _ Proforma Invoice_ REF0000090329","2021-01-04T14:20:46","Print","","1","LETTER","4000","2","",""
