JobID,User Name,Domain Name,Document Name,Date Time,Type,Department Number,Pages,Size,Status,Sets,PIN,Project Code
115228,Versalles,LAPTOP-D7VG2OEV,Copia de SLI 58823 with added explanation.xlsx,2021-01-05T12:36:51,Print,,1,LETTER,4000,1,,
115227,cselfa,,document,2021-01-05T12:32:48,Print,,5,LETTER,4000,2,,
115226,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T12:18:45,Print,,2,LETTER,4000,1,,
115225,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T12:18:21,Print,,1,LETTER,4000,1,,
115224,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T12:17:19,Print,,1,LETTER,4000,1,,
115221,User,,Remote Desktop Redirected Printer Doc,2021-01-05T11:50:52,Print,,1,LETTER,4000,1,,
115219,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T11:42:06,Print,,2,LETTER,4000,1,,
115218,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T11:42:04,Print,,2,LETTER,4000,1,,
115217,paolay,,VERTILUX Mail - COTIZACION AEREA FCA __... - BOGOTA __ SHIPPER VERTILUX EXP28539,2021-01-05T11:28:12,Print,,1,LETTER,4000,1,,
115216,paolay,,ACFrOgDhr61GqsvxCPDq6j5Yotlx7Iwf_uK_eTm...nrEjCC-BhR0KnTBCZRIBX2FY4NZGfVxcahTlM=,2021-01-05T11:26:50,Print,,1,LETTER,4000,1,,
115214,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T11:18:02,Print,,2,LETTER,4000,1,,
115213,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T11:17:54,Print,,2,LETTER,4000,1,,
115211,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T11:14:53,Print,,3,LETTER,4000,1,,
115210,paolay,,NEW INSTRUCTIONS FOR SPECIAL ORDER REAL SO611197.pdf,2021-01-05T11:14:42,Print,,2,LETTER,4000,1,,
115209,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T11:13:21,Print,,1,LETTER,4000,1,,
115208,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T11:12:12,Print,,1,LETTER,4000,1,,
115207,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T11:11:34,Print,,1,LETTER,4000,1,,
115206,User,,Remote Desktop Redirected Printer Doc,2021-01-05T11:00:12,Print,,1,LETTER,4000,1,,
115205,paolay,,VERTILUX Mail - SO612053 Pentagrama S.A.S - COLO34 (OCEAN - 2D),2021-01-05T10:58:37,Print,,1,LETTER,4000,1,,
115204,paolay,,SHIP INSTRUCTIONS INOVADORAS.xlsx,2021-01-05T10:56:07,Print,,1,LETTER,4000,2,,
115203,johandra,,Microsoft Outlook - Memo Style,2021-01-05T10:50:28,Print,,1,LETTER,4000,1,,
115202,johandra,,hilson incorporated so611403 (002).pdf,2021-01-05T10:50:24,Print,,1,LETTER,4000,1,,
115201,johandra,,HILSON INCORPORATED SO611318.pdf,2021-01-05T10:50:08,Print,,1,LETTER,4000,1,,
115199,User,,VERTILUX Mail - Order S_M- Oliver,2021-01-05T10:44:05,Print,,2,LETTER,4000,1,,
115198,User,,Remote Desktop Redirected Printer Doc,2021-01-05T10:41:54,Print,,1,LETTER,4000,1,,
115196,paolay,,Remote Desktop Redirected Printer Doc,2021-01-05T10:41:12,Print,,3,LETTER,4000,1,,
115195,paolay,,Remote Desktop Redirected Printer Doc,2021-01-05T10:40:01,Print,,2,LETTER,4000,1,,
115194,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:38:57,Print,,1,LETTER,4000,1,,
115193,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:37:11,Print,,1,LETTER,4000,1,,
115192,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:35:43,Print,,1,LETTER,4000,1,,
115190,TOSHIBA_PCL6_User,,TOSHIBA PCL6 BW Job,2021-01-05T10:34:47,Print,,2,LETTER,4000,1,,
115189,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:34:37,Print,,1,LETTER,4000,1,,
115188,paolay,,VERTILUX Mail - SO612096 Pentagrama S.A.S - COLO34 (OCEAN),2021-01-05T10:33:30,Print,,1,LETTER,4000,1,,
115187,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:33:21,Print,,1,LETTER,4000,1,,
115186,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:32:11,Print,,1,LETTER,4000,1,,
115185,paolay,,VERTILUX Mail - SO612096 Pentagrama S.A.S - COLO34 (OCEAN),2021-01-05T10:31:59,Print,,1,LETTER,4000,1,,
115184,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:30:39,Print,,1,LETTER,4000,1,,
115183,johandra,,Microsoft Word - Bonded Format (7512) - Copy (1) (1),2021-01-05T10:29:06,Print,,1,LETTER,4000,1,,
115182,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:28:42,Print,,1,LETTER,4000,1,,
115181,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:27:05,Print,,1,LETTER,4000,1,,
115180,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:18:23,Print,,1,LETTER,4000,1,,
115178,paolay,,Remote Desktop Redirected Printer Doc,2021-01-05T10:15:46,Print,,3,LETTER,4000,1,,
115177,johandra,,Remote Desktop Redirected Printer Doc,2021-01-05T10:14:47,Print,,2,LETTER,4000,1,,
115176,paolay,,Remote Desktop Redirected Printer Doc,2021-01-05T10:14:35,Print,,2,LETTER,4000,1,,
115175,,,,2021-01-05T10:13:28,Copy,,1,LETTER,4000,1,,
