JobID,User Name,Domain Name,Document Name,Date Time,Type,Department Number,Pages,Size,Status,Sets,PIN,Project Code
5921,paolay,VERTILUX.LTD,Remote Desktop Redirected Printer Doc,2019-07-12T14:33:53,Print,,1,LETTER,4000,1,,
5920,Windows User,,Windows Document,2019-07-12T14:33:24,Print,,2,LETTER,4000,1,,
5919,Windows User,,Windows Document,2019-07-12T14:31:33,Print,,3,LETTER,4000,1,,
5918,Windows User,,Windows Document,2019-07-12T14:31:09,Print,,1,LETTER,4000,1,,
5915,Windows User,,Windows Document,2019-07-12T14:25:31,Print,,1,LETTER,4000,1,,
5913,Windows User,,Windows Document,2019-07-12T14:24:26,Print,,2,LETTER,4000,1,,
5912,Windows User,,Windows Document,2019-07-12T14:24:24,Print,,1,LETTER,4000,1,,
5911,User,,Vertilux Blinds & Shades® | Shipping Reference: REF0000049645,2019-07-12T14:24:15,Print,,1,LETTER,4000,1,,
5910,Windows User,,Windows Document,2019-07-12T14:23:57,Print,,464,LETTER,4011,1,,
5909,Windows User,,Windows Document,2019-07-12T14:18:35,Print,,1,LETTER,4000,1,,
5908,Windows User,,Windows Document,2019-07-12T14:18:26,Print,,1,LETTER,4000,1,,
5907,paolay,VERTILUX.LTD,Microsoft Office Outlook - Memo Style,2019-07-12T14:18:02,Print,,1,LETTER,4000,1,,
5906,Windows User,,Windows Document,2019-07-12T14:09:07,Print,,2,LETTER,4000,1,,
5905,Windows User,,Windows Document,2019-07-12T14:08:53,Print,,1,LETTER,4000,1,,
5904,Windows User,,Windows Document,2019-07-12T14:08:36,Print,,2,LETTER,4000,1,,
5903,Windows User,,Windows Document,2019-07-12T14:08:10,Print,,1,LETTER,4000,1,,
5902,Windows User,,Windows Document,2019-07-12T14:07:14,Print,,1,LETTER,4000,1,,
5901,Windows User,,Windows Document,2019-07-12T14:07:05,Print,,1,LETTER,4000,1,,
5900,mahlopez,,shippable so547792.pdf,2019-07-12T14:00:07,Print,,1,LETTER,4000,1,,
5899,mahlopez,,SO GP ANALYSIS So547792.pdf,2019-07-12T13:59:51,Print,,1,LETTER,4000,1,,
5898,mahlopez,,so547792 (2).pdf,2019-07-12T13:59:38,Print,,1,LETTER,4000,1,,
5896,mahlopez,,Microsoft Office Outlook - Memo Style,2019-07-12T13:59:29,Print,,12,LETTER,4000,1,,
5894,christopher,,Crystal Reports - ORDER CONFIRMATION-USA NORMAL.RPT,2019-07-12T13:58:23,Print,,1,LETTER,4000,1,,
5893,christopher,,Crystal Reports - ORDER CONFIRMATION-USA NORMAL.RPT,2019-07-12T13:57:04,Print,,1,LETTER,4000,1,,
5892,christopher,,Crystal Reports - ORDER CONFIRMATION-USA NORMAL.RPT,2019-07-12T13:55:14,Print,,1,LETTER,4000,1,,
5891,paolay,VERTILUX.LTD,Remote Desktop Redirected Printer Doc,2019-07-12T13:48:27,Print,,1,LETTER,4000,1,,
5889,mahlopez,,Remote Desktop Redirected Printer Doc,2019-07-12T13:47:19,Print,,1,LETTER,4000,1,,
5888,paolay,VERTILUX.LTD,Remote Desktop Redirected Printer Doc,2019-07-12T13:47:09,Print,,1,LETTER,4000,1,,
5887,mahlopez,,Remote Desktop Redirected Printer Doc,2019-07-12T13:46:37,Print,,1,LETTER,4000,1,,
5886,Windows User,,Windows Document,2019-07-12T13:45:53,Print,,1,LETTER,4000,1,,
5885,Windows User,,Windows Document,2019-07-12T13:45:46,Print,,2,LETTER,4000,1,,
5884,paolay,VERTILUX.LTD,Microsoft Office Outlook - Memo Style,2019-07-12T13:41:21,Print,,1,LETTER,4000,1,,
5882,paolay,VERTILUX.LTD,Vertilux Blinds & Shades® | Shipping Reference: REF0000049640,2019-07-12T13:39:14,Print,,1,LETTER,4000,1,,
5880,aruiz,VERTILUX.LTD,Vertilux Blinds & Shades® | Shipping Reference: REF0000049583,2019-07-12T13:36:11,Print,,2,LETTER,4000,1,,
5879,paolay,VERTILUX.LTD,Remote Desktop Redirected Printer Doc,2019-07-12T13:34:39,Print,,1,LETTER,4000,1,,
5878,aruiz,VERTILUX.LTD,Vertilux Blinds & Shades® | Proforma Invoice: REF0000049583,2019-07-12T13:34:22,Print,,1,LETTER,4000,1,,
5877,aruiz,VERTILUX.LTD,Vertilux Blinds & Shades® | Shipping Reference: REF0000049583,2019-07-12T13:31:48,Print,,2,LETTER,4000,1,,
5876,Windows User,,Windows Document,2019-07-12T13:29:33,Print,,2,LETTER,4000,1,,
5875,Windows User,,Windows Document,2019-07-12T13:29:32,Print,,2,LETTER,4000,1,,
5873,mahlopez,,Microsoft Office Outlook - Memo Style,2019-07-12T13:29:22,Print,,4,LETTER,4000,1,,
5872,mahlopez,,SO546740 - URUG01.pdf,2019-07-12T13:29:13,Print,,1,LETTER,4000,1,,
5871,mahlopez,,SO546742 - URUG01.pdf,2019-07-12T13:29:08,Print,,2,LETTER,4000,1,,
5870,mahlopez,,Microsoft Office Outlook - Memo Style,2019-07-12T13:22:48,Print,,3,LETTER,4000,1,,
5869,Windows User,,Windows Document,2019-07-12T13:22:07,Print,,3,LETTER,4000,1,,
5868,mahlopez,,DOC060619-001.pdf,2019-07-12T13:19:03,Print,,1,LETTER,4000,1,,
5867,mahlopez,,61711 final BL copy.pdf,2019-07-12T13:16:20,Print,,1,LETTER,4000,1,,
5866,Windows User,,Windows Document,2019-07-12T13:16:04,Print,,2,LETTER,4000,1,,
5865,Windows User,,Windows Document,2019-07-12T13:13:36,Print,,1,LETTER,4000,1,,
5864,Windows User,,Windows Document,2019-07-12T13:12:45,Print,,2,LETTER,4000,1,,
5863,Windows User,,Windows Document,2019-07-12T13:11:26,Print,,1,LETTER,4000,1,,
5862,Windows User,,Windows Document,2019-07-12T13:10:53,Print,,1,LETTER,4000,1,,
5861,Windows User,,Windows Document,2019-07-12T13:10:24,Print,,1,LETTER,4000,1,,
