JobID,User Name,Domain Name,Document Name,Date Time,Type,Department Number,Pages,Size,Status,Sets,PIN,Project Code
16481,kimmcw,,VERTILUX Mail - Re_ Brite Blinds Next Container,2021-01-05T11:18:15,Print,,2,LETTER,4000,1,,
16480,kimmcw,,VERTILUX Mail - Re_ Brite Blinds Next Container,2021-01-05T11:13:33,Print,,2,LETTER,4000,1,,
16479,kimmcw,,March 2021 - February 2022,2021-01-05T11:05:26,Print,,12,LETTER,4000,1,,
16477,allanc,,Pickup,2021-01-05T10:49:31,Print,,1,LETTER,4000,1,,
16476,kimmcw,,Remote Desktop Redirected Printer Doc,2021-01-05T10:45:57,Print,,1,LETTER,4000,1,,
16475,allanc,,FedEx Ship Manager - Print Your Label(s),2021-01-05T10:44:33,Print,,2,LETTER,4000,1,,
16474,allanc,,FedEx Ship Manager - Confirm your shipment details,2021-01-05T10:43:09,Print,,1,LETTER,4000,1,,
16473,allanc,,FedEx Ship Manager - Create Return Shipment,2021-01-05T10:42:34,Print,,3,LETTER,4000,1,,
16472,kimmcw,,"VERTILUX Mail - RE_ Lanair Blackout Lig...03118,0-002-99-02118 &, 0-002-99-01118",2021-01-05T10:38:50,Print,,3,LETTER,4000,1,,
16471,TOSHIBA_PCL6_User,,TOSHIBA PCL6 Color Job,2021-01-05T10:19:55,Print,,8,LETTER,4000,1,,
16470,allanc,,Microsoft Office Outlook - Memo Style,2021-01-05T10:12:43,Print,,1,LETTER,4000,1,,
16469,kimmcw,,RA Return Authorization,2021-01-05T09:55:03,Print,,1,LETTER,4000,1,,
16468,allanc,,Crystal Reports - Custom Laser - OE Invoice table SO n CustPO,2021-01-05T09:43:17,Print,,3,LETTER,4000,1,,
16467,allanc,,Crystal Reports - RA Return Authorization,2021-01-05T09:42:17,Print,,1,LETTER,4000,1,,
16466,kimmcw,,Remote Desktop Redirected Printer Doc,2021-01-05T09:20:11,Print,,3,LETTER,4000,1,,
16465,allanc,,Crystal Reports - RA Return Authorization,2021-01-05T08:56:12,Print,,1,LETTER,4000,1,,
16464,allanc,,Crystal Reports - Custom Laser - OE Invoice table SO n CustPO,2021-01-05T08:33:52,Print,,1,LETTER,4000,1,,
