JobID,User Name,Domain Name,Document Name,Date Time,Type,Department Number,Pages,Size,Status,Sets,PIN,Project Code
4258,,,,2021-01-04T16:48:12,Print,,1,LETTER,4000,1,,
4257,,,,2021-01-04T16:48:10,Print,,2,LETTER,4000,1,,
4256,Ximena,,ACFrOgBq52ftaEH1R2-N5P2KznN-zlXS13VuNYV...WCpZ976-90zJA2JOstTWTPDxRHI0_kB4inOOs=,2021-01-04T10:15:27,Print,,9,LETTER,4000,1,,
4255,christianf,CHRISTIAN,Microsoft Outlook - Memo Style,2020-12-23T16:36:11,Print,,1,LETTER,4000,1,,
4254,christianf,CHRISTIAN,Microsoft Outlook - Memo Style,2020-12-23T15:33:26,Print,,1,LETTER,4000,1,,
4251,Anabel,,Modelo-82-33-Declaracion-de-Sanidad-del-Viajero-CUBA.pdf,2020-12-22T08:06:28,Print,,4,LETTER,4000,1,,
4250,Ximena,,Converted from LaserJet PCL,2020-12-21T09:14:00,Print,,5,LETTER,4000,1,,
4249,christianf,CHRISTIAN,SO611441 POMARES.pdf,2020-12-17T11:18:56,Print,,1,LETTER,4000,1,,
4248,Anabel,,Me - Google Docs,2020-12-17T08:09:48,Print,,1,LETTER,4000,1,,
4247,Anabel,,Me - Google Docs,2020-12-17T07:54:47,Print,,1,LETTER,4000,1,,
4246,whs107,,ERP Web Application,2020-12-16T12:02:28,Print,,3,LETTER,4000,1,,
4243,whs107,,Catch993C.jpg,2020-12-16T09:52:31,Print,,1,LETTER,4000,1,,
4242,whs107,,Catch0E55.jpg,2020-12-16T09:52:08,Print,,1,LETTER,4000,1,,
4241,whs107,,VERTILUX Mail - Fwd_ New Price List,2020-12-16T09:27:30,Print,,1,LETTER,4000,1,,
4240,Anabel,,Me - Google Docs,2020-12-16T08:39:15,Print,,1,LETTER,4000,1,,
4239,Anabel,,Microsoft Word - AnabelSirio_Resume_2020.docx,2020-12-16T07:42:42,Print,,1,LETTER,4000,1,,
4238,Anabel,,Me - Google Docs,2020-12-16T07:41:23,Print,,1,LETTER,4000,1,,
4237,Anabel,,Microsoft Word - Strong knowledge of IP networking fundamentals including OSI model.docx,2020-12-16T07:40:17,Print,,1,LETTER,4000,1,,
