JobID,User Name,Domain Name,Document Name,Date Time,Type,Department Number,Pages,Size,Status,Sets,PIN,Project Code
1416,whs10,,ERP Web Application _ Receiving Control_ 39795,2021-01-05T10:15:57,Print,,2,LETTER,4000,1,,
1415,,,,2021-01-04T16:49:34,Print,,1,LETTER,4000,1,,
1414,,,,2021-01-04T16:49:32,Print,,2,LETTER,4000,1,,
1413,,,,2021-01-04T09:35:35,Copy,,1,LETTER,4000,30,,
1412,whs10,,ERP Web Application _ Shipping Reference_ REF0000090153,2021-01-02T13:42:46,Print,,17,LETTER,4000,1,,
1411,whs10,,ERP Web Application _ Shipping Reference_ REF0000090153,2021-01-02T10:12:45,Print,,3,LETTER,4000,1,,
1410,sebastianf,VERTILUX.LTD,Microsoft Outlook - Memo Style,2020-12-30T18:37:34,Print,,2,LETTER,4000,1,,
1409,whs10,,ERP Web Application _ Receiving Control_ 39679,2020-12-30T18:28:49,Print,,2,LETTER,4000,1,,
1408,sebastianf,VERTILUX.LTD,Microsoft Outlook - Memo Style,2020-12-30T17:15:58,Print,,1,LETTER,4000,1,,
1407,,,,2020-12-30T11:50:33,Copy,,1,LETTER,4000,1,,
1406,whs10,,ERP Web Application _ Receiving Control_ 50423,2020-12-30T09:51:10,Print,,3,LETTER,4000,1,,
1405,,,,2020-12-29T15:56:52,Copy,,2,LETTER,4000,1,,
1404,whs10,,ERP Web Application _ Receiving Control_ 50652,2020-12-29T15:56:32,Print,,2,LETTER,4000,1,,
1403,whs10,,ERP Web Application _ Receiving Control_ 50652,2020-12-29T14:18:06,Print,,2,LETTER,4000,1,,
1402,whs10,,ERP Web Application _ Receiving Control_ 50965,2020-12-29T09:08:34,Print,,1,LETTER,4000,1,,
1401,sebastianf,VERTILUX.LTD,DOC122820-011.pdf,2020-12-28T16:24:15,Print,,1,LETTER,4000,1,,
1400,whs10,,ERP Web Application _ Receiving Control_ 39692,2020-12-28T15:50:09,Print,,3,LETTER,4000,1,,
1399,whs10,,ERP Web Application _ Receiving Control_ 39692,2020-12-28T15:44:04,Print,,3,LETTER,4000,1,,
1398,sebastianf,VERTILUX.LTD,ERP Web Application _ Shipping Reference_ REF0000089806,2020-12-28T13:40:44,Print,,21,LETTER,4000,1,,
1397,whs10,,ERP Web Application _ Receiving Control_ 39960,2020-12-23T16:04:40,Print,,2,LETTER,4000,1,,
1396,sebastianf,VERTILUX.LTD,Microsoft Outlook - Memo Style,2020-12-23T12:15:32,Print,,1,LETTER,4000,1,,
1395,whs10,,ERP Web Application _ Receiving Control_ 50038,2020-12-22T11:40:17,Print,,3,LETTER,4000,1,,
1394,,,,2020-12-22T10:38:24,Copy,,1,LETTER,4000,30,,
1393,whs10,,ERP Web Application _ Receiving Control_ 50072,2020-12-21T11:00:29,Print,,2,LETTER,4000,1,,
1392,sebastianf,VERTILUX.LTD,Microsoft Outlook - Memo Style,2020-12-19T12:55:17,Print,,2,LETTER,4000,1,,
1391,whs10,,ERP Web Application _ Receiving Control_ 50737,2020-12-18T15:18:53,Print,,1,LETTER,4000,1,,
1390,whs10,,ERP Web Application _ Receiving Control_ 39606,2020-12-18T11:38:49,Print,,2,LETTER,4000,1,,
1389,whs10,,ERP Web Application _ Receiving Control_ 39726,2020-12-18T09:41:20,Print,,3,LETTER,4000,1,,
1388,whs10,,ERP Web Application _ Receiving Control_ 39726,2020-12-17T18:21:09,Print,,3,LETTER,4000,1,,
1387,sebastianf,VERTILUX.LTD,ERP Web Application _ Shipping Reference_ REF0000089743,2020-12-17T15:06:52,Print,,1,LETTER,4000,1,,
1386,,,,2020-12-16T15:52:57,Copy,,1,LETTER,4000,1,,
1385,whs10,,ERP Web Application _ Receiving Control_ 39946,2020-12-16T14:32:32,Print,,2,LETTER,4000,2,,
1384,,,,2020-12-15T08:38:05,Copy,,1,LETTER,4000,30,,
1383,sebastianf,VERTILUX.LTD,ERP Web Application _ Shipping Reference_ REF0000089350,2020-12-14T16:50:30,Print,,2,LETTER,4000,1,,
